iter,acc,f1-score,auc,recall,cm,params
26,0.9422418012726382,0.970081135902637,0.5509878208434165,0.9865910263022176,"[[  24  184]
 [  52 3826]]","{'max_depth': 40, 'learning_rate': 0.22480102785533, 'n_estimators': 1850}"
27,0.9419970631424376,0.9699505515405097,0.5508588884040148,0.9863331614234141,"[[  24  184]
 [  53 3825]]","{'max_depth': 27, 'learning_rate': 0.16933564318984734, 'n_estimators': 1750}"
28,0.9419970631424376,0.9699505515405097,0.5508588884040148,0.9863331614234141,"[[  24  184]
 [  53 3825]]","{'max_depth': 45, 'learning_rate': 0.20889802914112637, 'n_estimators': 1300}"
29,0.9422418012726382,0.970081135902637,0.5509878208434165,0.9865910263022176,"[[  24  184]
 [  52 3826]]","{'max_depth': 20, 'learning_rate': 0.2283441901955025, 'n_estimators': 1600}"
30,0.9427312775330396,0.9703422053231939,0.55124568572222,0.9871067560598247,"[[  24  184]
 [  50 3828]]","{'max_depth': 28, 'learning_rate': 0.12963461720707695, 'n_estimators': 2000}"
31,0.9419970631424376,0.9699505515405097,0.5508588884040148,0.9863331614234141,"[[  24  184]
 [  53 3825]]","{'max_depth': 33, 'learning_rate': 0.17853830641553559, 'n_estimators': 1700}"
32,0.9419970631424376,0.9699505515405097,0.5508588884040148,0.9863331614234141,"[[  24  184]
 [  53 3825]]","{'max_depth': 48, 'learning_rate': 0.2354997728660511, 'n_estimators': 1850}"
33,0.9427312775330396,0.9703497212366954,0.5489707720077757,0.9873646209386282,"[[  23  185]
 [  49 3829]]","{'max_depth': 38, 'learning_rate': 0.21659987052905233, 'n_estimators': 1900}"
34,0.9432207537934411,0.9706180344478217,0.5469537231721348,0.9881382155750387,"[[  22  186]
 [  46 3832]]","{'max_depth': 42, 'learning_rate': 0.1436828020538154, 'n_estimators': 1000}"
35,0.9419970631424376,0.9699505515405097,0.5508588884040148,0.9863331614234141,"[[  24  184]
 [  53 3825]]","{'max_depth': 31, 'learning_rate': 0.19871716170577236, 'n_estimators': 1650}"
36,0.942486539402839,0.9702041333840498,0.5533916669972627,0.9865910263022176,"[[  25  183]
 [  52 3826]]","{'max_depth': 14, 'learning_rate': 0.17093383798687037, 'n_estimators': 1300}"
37,0.9432207537934411,0.9706105903217634,0.5492286368865792,0.9878803506962351,"[[  23  185]
 [  47 3831]]","{'max_depth': 26, 'learning_rate': 0.1389529647144032, 'n_estimators': 1400}"
38,0.9429760156632403,0.9704577152275897,0.5559244455905106,0.9868488911810211,"[[  26  182]
 [  51 3827]]","{'max_depth': 36, 'learning_rate': 0.2090382279988366, 'n_estimators': 1800}"
39,0.9422418012726382,0.970081135902637,0.5509878208434165,0.9865910263022176,"[[  24  184]
 [  52 3826]]","{'max_depth': 39, 'learning_rate': 0.20785773861599408, 'n_estimators': 1050}"
40,0.9412628487518355,0.9695817490494295,0.5436473499424762,0.9863331614234141,"[[  21  187]
 [  53 3825]]","{'max_depth': 43, 'learning_rate': 0.11704419196765839, 'n_estimators': 1800}"
41,0.9419970631424376,0.9699505515405097,0.5508588884040148,0.9863331614234141,"[[  24  184]
 [  53 3825]]","{'max_depth': 50, 'learning_rate': 0.1660311142103707, 'n_estimators': 1550}"
42,0.9429760156632403,0.9704876504116529,0.5468247907327329,0.9878803506962351,"[[  22  186]
 [  47 3831]]","{'max_depth': 22, 'learning_rate': 0.09543436866826346, 'n_estimators': 1200}"
43,0.9429760156632403,0.9704801723045736,0.5490997044471774,0.9876224858174316,"[[  23  185]
 [  48 3830]]","{'max_depth': 32, 'learning_rate': 0.19334082212324052, 'n_estimators': 800}"
44,0.942486539402839,0.9702116871593359,0.5511167532828183,0.9868488911810211,"[[  24  184]
 [  51 3827]]","{'max_depth': 29, 'learning_rate': 0.21402280026452858, 'n_estimators': 1450}"
45,0.9412628487518355,0.969558599695586,0.5504720910858095,0.9855595667870036,"[[  24  184]
 [  56 3822]]","{'max_depth': 37, 'learning_rate': 0.23162334091291253, 'n_estimators': 1300}"
46,0.942486539402839,0.9702116871593359,0.5511167532828183,0.9868488911810211,"[[  24  184]
 [  51 3827]]","{'max_depth': 46, 'learning_rate': 0.15566079242964784, 'n_estimators': 1650}"
47,0.9437102300538424,0.9708491761723701,0.5563112429087158,0.9876224858174316,"[[  26  182]
 [  48 3830]]","{'max_depth': 9, 'learning_rate': 0.18177994587365698, 'n_estimators': 1100}"
48,0.9432207537934411,0.9706105903217634,0.5492286368865792,0.9878803506962351,"[[  23  185]
 [  47 3831]]","{'max_depth': 8, 'learning_rate': 0.18083714122765138, 'n_estimators': 950}"
49,0.9481155163974547,0.9733400402414486,0.5085839251001706,0.9979370809695719,"[[   4  204]
 [   8 3870]]","{'max_depth': 1, 'learning_rate': 0.1284363239455824, 'n_estimators': 400}"
50,0.9422418012726382,0.970111448834853,0.5418881659856389,0.9876224858174316,"[[  20  188]
 [  48 3830]]","{'max_depth': 12, 'learning_rate': 0.14537445465691085, 'n_estimators': 750}"
51,0.9439549681840431,0.9710529642270256,0.5336910382036736,0.9904589994842703,"[[  16  192]
 [  37 3841]]","{'max_depth': 6, 'learning_rate': 0.10263688221856349, 'n_estimators': 1100}"
52,0.9478707782672541,0.9732041766259908,0.5107299063752132,0.997421351211965,"[[   5  203]
 [  10 3868]]","{'max_depth': 17, 'learning_rate': 0.06859839518842904, 'n_estimators': 50}"
53,0.9449339207048458,0.9715801439939371,0.5319318542468362,0.9917483238782878,"[[  15  193]
 [  32 3846]]","{'max_depth': 0, 'learning_rate': 0.19007554353895026, 'n_estimators': 250}"
54,0.9434654919236417,0.9708149084017689,0.5266084321815369,0.9907168643630737,"[[  13  195]
 [  36 3842]]","{'max_depth': 10, 'learning_rate': 0.11946636343602896, 'n_estimators': 450}"
55,0.9449339207048458,0.9715801439939371,0.5319318542468362,0.9917483238782878,"[[  15  193]
 [  32 3846]]","{'max_depth': 20, 'learning_rate': 0.16323243446041744, 'n_estimators': 300}"
56,0.9446891825746452,0.9714646464646465,0.5272530943785456,0.9920061887570912,"[[  13  195]
 [  31 3847]]","{'max_depth': 11, 'learning_rate': 0.05155245796520268, 'n_estimators': 850}"
57,0.9439549681840431,0.9710529642270256,0.5336910382036736,0.9904589994842703,"[[  16  192]
 [  37 3841]]","{'max_depth': 6, 'learning_rate': 0.1769683763088024, 'n_estimators': 600}"
