iter,acc,f1-score,auc,recall,cm,params
54,0.8142857142857143,0.823505026427609,0.8134567931575942,0.8367733782645325,"[[3494  928]
 [ 775 3973]]","{'max_depth': 39, 'learning_rate': 0.0878, 'n_estimators': 500}"
55,0.8162486368593239,0.8258397932816538,0.8153212740768851,0.8414069081718618,"[[3490  932]
 [ 753 3995]]","{'max_depth': 30, 'learning_rate': 0.1176, 'n_estimators': 250}"
56,0.815267175572519,0.825360824742268,0.8142415269139484,0.8430918281381634,"[[3473  949]
 [ 745 4003]]","{'max_depth': 26, 'learning_rate': 0.1595, 'n_estimators': 50}"
57,0.8057797164667394,0.8142663468557723,0.805172936725578,0.8222409435551812,"[[3485  937]
 [ 844 3904]]","{'max_depth': 12, 'learning_rate': 0.1781, 'n_estimators': 700}"
58,0.8066521264994547,0.8154470698449047,0.8059765791552309,0.8249789385004213,"[[3480  942]
 [ 831 3917]]","{'max_depth': 7, 'learning_rate': 0.2219, 'n_estimators': 800}"
59,0.8142857142857143,0.8236877523553162,0.8134179756040965,0.8378264532434709,"[[3489  933]
 [ 770 3978]]","{'max_depth': 22, 'learning_rate': 0.0826, 'n_estimators': 450}"
60,0.8058887677208287,0.815045719035744,0.8051462645415794,0.8260320134793597,"[[3468  954]
 [ 826 3922]]","{'max_depth': 25, 'learning_rate': 0.1072, 'n_estimators': 1350}"
61,0.8002181025081788,0.8086084412870874,0.7996702746510992,0.8150800336983993,"[[3468  954]
 [ 878 3870]]","{'max_depth': 34, 'learning_rate': 0.1666, 'n_estimators': 1750}"
62,0.8089422028353326,0.8181063122923586,0.8081725095896027,0.8298230834035384,"[[3478  944]
 [ 808 3940]]","{'max_depth': 18, 'learning_rate': 0.0715, 'n_estimators': 1500}"
63,0.8145038167938932,0.8239677118907172,0.8136208270891845,0.8384582982308341,"[[3488  934]
 [ 767 3981]]","{'max_depth': 44, 'learning_rate': 0.1546, 'n_estimators': 150}"
64,0.8093784078516902,0.8182952182952183,0.8086558476667745,0.8289806234203876,"[[3486  936]
 [ 812 3936]]","{'max_depth': 47, 'learning_rate': 0.1925, 'n_estimators': 400}"
65,0.8143947655398037,0.8241008681273253,0.8134611750163939,0.8397219882055602,"[[3481  941]
 [ 761 3987]]","{'max_depth': 40, 'learning_rate': 0.0575, 'n_estimators': 600}"
66,0.8190839694656489,0.8291276135544341,0.8180282149793271,0.8477253580454929,"[[3486  936]
 [ 723 4025]]","{'max_depth': 50, 'learning_rate': 0.0253, 'n_estimators': 550}"
